#linkID, startTime
p681, 2019-01-01 00:00
p830, 2019-01-02 00:00
p66, 2019-01-03 00:00
p588, 2019-01-04 00:00
p663, 2019-01-05 00:00
p382, 2019-01-06 00:00
p632, 2019-01-07 00:00
p562, 2019-01-08 00:00
p130, 2019-01-09 00:00
p482, 2019-01-10 00:00
p831, 2019-01-11 00:00
p263, 2019-01-12 00:00
p657, 2019-01-13 00:00
p58, 2019-01-14 00:00
p632, 2019-01-15 00:00
p227, 2019-01-16 00:00
p655, 2019-01-17 00:00
p160, 2019-01-18 00:00
p863, 2019-01-19 00:00
p558, 2019-01-20 00:00
p518, 2019-01-21 00:00
p290, 2019-01-22 00:00
p535, 2019-01-23 00:00
p879, 2019-01-24 00:00
p753, 2019-01-25 00:00
p271, 2019-01-26 00:00
p73, 2019-01-27 00:00
p612, 2019-01-28 00:00
p307, 2019-01-29 00:00
p656, 2019-01-30 00:00
p464, 2019-01-31 00:00
p405, 2019-02-01 00:00
p129, 2019-02-02 00:00
p299, 2019-02-03 00:00
p289, 2019-02-04 00:00
p30, 2019-02-05 00:00
p301, 2019-02-06 00:00
p727, 2019-02-07 00:00
p574, 2019-02-08 00:00
p279, 2019-02-09 00:00
p889, 2019-02-10 00:00
p688, 2019-02-11 00:00
p754, 2019-02-12 00:00
p100, 2019-02-13 00:00
p632, 2019-02-14 00:00
p637, 2019-02-15 00:00
p447, 2019-02-16 00:00
p233, 2019-02-17 00:00
p345, 2019-02-18 00:00
p614, 2019-02-19 00:00
p746, 2019-02-20 00:00
p742, 2019-02-21 00:00
p773, 2019-02-22 00:00
p850, 2019-02-23 00:00
p718, 2019-02-24 00:00
p866, 2019-02-25 00:00
p477, 2019-02-26 00:00
p4, 2019-02-27 00:00
p379, 2019-02-28 00:00
p79, 2019-03-01 00:00
p480, 2019-03-02 00:00
p345, 2019-03-03 00:00
p706, 2019-03-04 00:00
p540, 2019-03-05 00:00
p651, 2019-03-06 00:00
p101, 2019-03-07 00:00
p68, 2019-03-08 00:00
p342, 2019-03-09 00:00
p210, 2019-03-10 00:00
p282, 2019-03-11 00:00
p637, 2019-03-12 00:00
p542, 2019-03-13 00:00
p648, 2019-03-14 00:00
p37, 2019-03-15 00:00
p867, 2019-03-16 00:00
p667, 2019-03-17 00:00
p538, 2019-03-18 00:00
p209, 2019-03-19 00:00
p305, 2019-03-20 00:00
p615, 2019-03-21 00:00
p4, 2019-03-22 00:00
p20, 2019-03-23 00:00
p93, 2019-03-24 00:00
p711, 2019-03-25 00:00
p93, 2019-03-26 00:00
p140, 2019-03-27 00:00
p368, 2019-03-28 00:00
p608, 2019-03-29 00:00
p889, 2019-03-30 00:00
p693, 2019-03-31 00:00
p360, 2019-04-01 00:00
p273, 2019-04-02 00:00
p711, 2019-04-03 00:00
p886, 2019-04-04 00:00
