#linkID, startTime
p905, 2019-11-23 07:05
p905, 2019-11-26 02:20
p905, 2019-11-29 06:30
p339, 2019-11-18 05:05
p339, 2019-12-01 06:55
p339, 2019-12-07 02:55
p339, 2019-12-09 00:35
p339, 2019-12-19 06:05
p339, 2019-12-21 06:00
p339, 2019-12-23 01:00
p342, 2019-09-22 09:50
p342, 2019-09-24 06:05
p342, 2019-09-28 05:10
p342, 2019-11-04 05:45
p342, 2019-11-04 06:35
p342, 2019-11-04 13:25
p342, 2019-11-05 01:15
p342, 2019-11-06 05:35
p342, 2019-11-10 22:10
p342, 2019-11-16 02:35
p348, 2019-11-18 05:45
p348, 2019-12-01 07:25
p348, 2019-12-09 01:40
p348, 2019-12-19 06:00
p348, 2019-12-21 05:55
p348, 2019-12-23 01:40
p350, 2019-11-06 07:20
p350, 2019-11-18 02:40
p350, 2019-12-03 09:00
p350, 2019-12-07 01:05
p350, 2019-12-19 04:00
p350, 2019-12-22 22:30
p38, 2019-09-01 00:05
p38, 2019-11-18 06:35
p38, 2019-11-19 01:10
p38, 2019-11-19 01:20
p38, 2019-12-03 06:10
p38, 2019-12-04 11:10
p38, 2019-12-04 12:20
p38, 2019-12-13 11:15
p38, 2019-12-13 11:55
p38, 2019-12-13 16:30
p38, 2019-12-14 01:25
p38, 2019-12-16 06:10
p38, 2019-12-19 00:40
p38, 2019-12-27 07:10
p38, 2019-12-27 14:25
p38, 2019-12-28 00:40
p38, 2019-12-28 03:25
p38, 2019-12-29 05:05
p38, 2019-12-31 02:25
p324, 2019-11-18 06:20
p324, 2019-11-20 05:45
p324, 2019-11-23 03:40
p324, 2019-12-01 07:35
p324, 2019-12-07 03:35
p324, 2019-12-09 01:05
p324, 2019-12-19 06:00
p324, 2019-12-21 05:45
p324, 2019-12-23 01:10
p366, 2019-11-04 03:10
p366, 2019-11-06 04:30
p366, 2019-11-10 18:20
p366, 2019-11-16 03:15
p366, 2019-11-18 01:40
p366, 2019-12-01 06:10
p366, 2019-12-07 02:45
p366, 2019-12-09 00:30
p366, 2019-12-19 04:45
p366, 2019-12-20 07:05
p366, 2019-12-21 04:50
p366, 2019-12-22 22:40
p366, 2019-12-31 07:15
p366, 2019-12-31 13:40
p366, 2019-12-31 17:35
p366, 2019-12-31 18:25
p355, 2019-11-23 08:45
p355, 2019-11-29 06:50
p42, 2019-09-22 09:15
p42, 2019-09-27 20:05
p42, 2019-09-27 20:45
