#linkID, startTime
p264, 2019-01-01 01:15
p264, 2019-01-01 01:50
p7, 2019-01-01 01:10
p272, 2019-01-01 01:10
p278, 2019-01-01 01:10
p278, 2019-01-01 06:30
p286, 2019-01-01 01:10
p19, 2019-01-01 01:10
p293, 2019-01-01 01:10
p22, 2019-01-01 01:10
p23, 2019-01-01 01:10
p249, 2019-01-01 01:10
p288, 2019-01-01 01:10
p27, 2019-01-01 01:10
p294, 2019-01-01 01:10
p28, 2019-01-01 01:10
p30, 2019-01-01 03:15
p240, 2019-01-01 01:10
p321, 2019-01-01 01:10
p223, 2019-01-01 01:10
p463, 2019-01-01 01:10
p114, 2019-01-01 01:10
p132, 2019-01-01 01:10
p135, 2019-01-01 01:10
p206, 2019-01-01 01:10
p854, 2019-01-01 01:10
p869, 2019-01-01 01:10
p303, 2019-01-01 01:10
p311, 2019-01-01 01:10
p320, 2019-01-01 01:10
p320, 2019-01-01 01:20
p273, 2019-01-01 01:10
p282, 2019-01-01 01:15
p302, 2019-01-01 01:10
p397, 2019-01-01 01:10
p691, 2019-01-01 01:10
p824, 2019-01-01 01:10
p863, 2019-01-01 01:10
