#linkID, startTime
p497, 2018-01-08 02:35
p508, 2018-01-08 02:40
p574, 2018-01-08 02:40
p510, 2018-01-08 02:45
p95, 2018-01-08 03:00
p473, 2018-01-08 03:00
p774, 2018-01-08 03:00
p139, 2018-01-08 03:05
p533, 2018-01-08 03:05
p400, 2018-01-08 03:10
p571, 2018-01-08 03:10
p614, 2018-01-08 03:15
p833, 2018-01-08 03:15
p439, 2018-01-08 03:20
p132, 2018-01-08 03:30
p696, 2018-01-08 03:30
p762, 2018-01-08 03:30
p45, 2018-01-08 03:35
p534, 2018-01-08 03:35
p566, 2018-01-08 03:35
p128, 2018-01-08 03:40
p760, 2018-01-08 03:45
p118, 2018-01-08 04:00
p767, 2018-01-08 04:00
p81, 2018-01-08 04:05
p552, 2018-01-08 04:05
p58, 2018-01-08 04:05
p895, 2018-01-08 04:05
p881, 2018-01-08 04:05
p181, 2018-01-08 04:10
p88, 2018-01-08 04:15
p641, 2018-01-08 04:15
p600, 2018-01-08 04:25
p325, 2018-01-08 04:30
p599, 2018-01-08 04:30
p615, 2018-01-08 04:30
p782, 2018-01-08 04:35
p598, 2018-01-08 04:35
p645, 2018-01-08 04:35
p732, 2018-01-08 04:40
p214, 2018-01-08 04:40
p453, 2018-01-08 04:40
p642, 2018-01-08 04:40
p201, 2018-01-08 04:50
p203, 2018-01-08 04:50
p891, 2018-01-08 04:50
p832, 2018-01-08 04:50
p89, 2018-01-08 05:00
p663, 2018-01-08 05:00
p471, 2018-01-08 05:15
p581, 2018-01-08 05:15
p220, 2018-01-08 05:25
p873, 2018-01-08 05:30
p465, 2018-01-08 05:35
p205, 2018-01-08 05:35
p542, 2018-01-08 05:40
p605, 2018-01-08 05:50
p2, 2018-01-08 05:55
p797, 2018-01-08 05:55
p667, 2018-01-08 06:00
p561, 2018-01-08 06:05
p448, 2018-01-08 06:15
p686, 2018-01-08 20:10
p763, 2018-01-08 20:10
p877, 2018-01-08 20:10
p194, 2018-01-08 20:10
p467, 2018-01-08 20:15
p522, 2018-01-08 20:15
p749, 2018-01-08 20:15
p176, 2018-01-08 20:15
p495, 2018-01-08 20:15
p648, 2018-01-08 20:15
p792, 2018-01-08 20:15
p852, 2018-01-08 20:15
p375, 2018-01-08 20:20
p231, 2018-01-08 20:20
p142, 2018-01-08 20:20
p690, 2018-01-08 20:20
p771, 2018-01-08 20:20
p756, 2018-01-08 20:20
p112, 2018-01-08 20:25
p557, 2018-01-08 20:25
p125, 2018-01-08 20:25
p546, 2018-01-08 20:25
p232, 2018-01-08 20:25
p751, 2018-01-08 20:25
p61, 2018-01-08 20:25
p70, 2018-01-08 20:25
p482, 2018-01-08 20:25
p500, 2018-01-08 20:25
p451, 2018-01-08 20:30
p672, 2018-01-08 20:30
p796, 2018-01-08 20:30
p501, 2018-01-08 20:30
p793, 2018-01-08 20:30
p97, 2018-01-08 20:35
p540, 2018-01-08 20:35
p715, 2018-01-08 20:35
p54, 2018-01-08 20:35
p71, 2018-01-08 20:35
p502, 2018-01-08 20:40
p199, 2018-01-08 20:40
p59, 2018-01-08 20:40
p192, 2018-01-08 20:40
p440, 2018-01-08 20:45
p543, 2018-01-08 20:45
p716, 2018-01-08 20:45
p39, 2018-01-08 20:50
p109, 2018-01-08 20:50
p120, 2018-01-08 20:50
p585, 2018-01-08 20:50
p849, 2018-01-08 20:50
p515, 2018-01-08 20:50
p583, 2018-01-08 20:50
p704, 2018-01-08 20:50
p682, 2018-01-08 20:55
p711, 2018-01-08 20:55
p806, 2018-01-08 20:55
p619, 2018-01-08 20:55
p816, 2018-01-08 20:55
p817, 2018-01-08 20:55
p613, 2018-01-08 21:00
p73, 2018-01-08 21:00
p867, 2018-01-08 21:00
p153, 2018-01-08 21:05
p603, 2018-01-08 21:05
p740, 2018-01-08 21:05
p883, 2018-01-08 21:05
p444, 2018-01-08 21:10
p449, 2018-01-08 21:10
p481, 2018-01-08 21:10
p518, 2018-01-08 21:10
p512, 2018-01-08 21:10
p665, 2018-01-08 21:10
p169, 2018-01-08 21:10
p785, 2018-01-08 21:10
p174, 2018-01-08 21:10
p839, 2018-01-08 21:10
p184, 2018-01-08 21:10
p430, 2018-01-08 21:10
p622, 2018-01-08 21:10
p669, 2018-01-08 21:10
p420, 2018-01-08 21:15
p100, 2018-01-08 21:15
p119, 2018-01-08 21:15
p200, 2018-01-08 21:15
p580, 2018-01-08 21:15
p720, 2018-01-08 21:15
p209, 2018-01-08 21:15
p190, 2018-01-08 21:15
p627, 2018-01-08 21:15
p815, 2018-01-08 21:15
p403, 2018-01-08 21:20
p130, 2018-01-08 21:20
p728, 2018-01-08 21:20
p63, 2018-01-08 21:20
p875, 2018-01-08 21:20
p828, 2018-01-08 21:20
p504, 2018-01-08 21:20
p597, 2018-01-08 21:20
p759, 2018-01-08 21:20
p876, 2018-01-08 21:20
p346, 2018-01-08 21:25
p445, 2018-01-08 21:25
p631, 2018-01-08 21:25
p666, 2018-01-08 21:25
p149, 2018-01-08 21:25
p717, 2018-01-08 21:25
p787, 2018-01-08 21:25
p886, 2018-01-08 21:25
p123, 2018-01-08 21:30
p570, 2018-01-08 21:30
p578, 2018-01-08 21:30
p610, 2018-01-08 21:30
p889, 2018-01-08 21:30
p802, 2018-01-08 21:30
p104, 2018-01-08 21:35
p493, 2018-01-08 21:35
p117, 2018-01-08 21:35
p630, 2018-01-08 21:35
p683, 2018-01-08 21:35
p208, 2018-01-08 21:35
p702, 2018-01-08 21:35
p836, 2018-01-08 21:35
p904, 2018-01-08 21:35
p734, 2018-01-08 21:35
p804, 2018-01-08 21:35
p491, 2018-01-08 21:40
p706, 2018-01-08 21:40
p66, 2018-01-08 21:40
p175, 2018-01-08 21:40
p831, 2018-01-08 21:40
p853, 2018-01-08 21:40
p505, 2018-01-08 21:40
p814, 2018-01-08 21:40
p824, 2018-01-08 21:40
p840, 2018-01-08 21:40
p846, 2018-01-08 21:40
p859, 2018-01-08 21:40
p9, 2018-01-08 21:45
p409, 2018-01-08 21:45
p92, 2018-01-08 21:45
p660, 2018-01-08 21:45
p688, 2018-01-08 21:45
p878, 2018-01-08 21:45
p884, 2018-01-08 21:45
p882, 2018-01-08 21:45
p526, 2018-01-08 21:50
p801, 2018-01-08 21:50
p819, 2018-01-08 21:50
p678, 2018-01-08 21:50
p455, 2018-01-08 21:50
p591, 2018-01-08 21:50
p803, 2018-01-08 21:50
p343, 2018-01-08 21:55
p402, 2018-01-08 21:55
p441, 2018-01-08 21:55
p850, 2018-01-08 21:55
p781, 2018-01-08 22:00
p414, 2018-01-08 22:00
p602, 2018-01-08 22:00
p217, 2018-01-08 22:05
p874, 2018-01-08 22:05
p848, 2018-01-08 22:05
p545, 2018-01-08 22:05
p234, 2018-01-08 22:10
p528, 2018-01-08 22:10
p211, 2018-01-08 22:10
p769, 2018-01-08 22:10
p225, 2018-01-08 22:10
p902, 2018-01-08 22:10
p693, 2018-01-08 22:10
p844, 2018-01-08 22:10
p851, 2018-01-08 22:10
p862, 2018-01-08 22:15
p860, 2018-01-08 22:15
p524, 2018-01-08 22:20
p77, 2018-01-08 22:20
p188, 2018-01-08 22:20
p746, 2018-01-08 22:20
p337, 2018-01-08 22:25
p879, 2018-01-08 22:25
PRV-2, 2018-01-08 22:30
p628, 2018-01-08 22:30
p379, 2018-01-08 22:30
p847, 2018-01-08 22:30
p829, 2018-01-08 22:35
p861, 2018-01-08 22:35
p825, 2018-01-08 22:35
p236, 2018-01-08 22:40
p165, 2018-01-08 22:40
p212, 2018-01-08 22:40
p496, 2018-01-08 22:40
p550, 2018-01-08 22:40
p791, 2018-01-08 22:45
p553, 2018-01-08 22:50
p135, 2018-01-08 22:50
p57, 2018-01-08 22:50
p823, 2018-01-08 22:50
p357, 2018-01-08 23:00
p487, 2018-01-08 23:00
p822, 2018-01-08 23:05
p892, 2018-01-08 23:05
p422, 2018-01-08 23:05
p167, 2018-01-08 23:10
p554, 2018-01-08 23:10
p405, 2018-01-08 23:10
p777, 2018-01-08 23:15
p460, 2018-01-08 23:20
p69, 2018-01-08 23:25
p727, 2018-01-08 23:25
p730, 2018-01-08 23:25
p784, 2018-01-08 23:35
p890, 2018-01-08 23:45
p572, 2018-01-08 23:50
p378, 2018-01-09 00:05
p864, 2018-01-09 00:10
p772, 2018-01-09 00:15
p328, 2018-01-09 00:20
p83, 2018-01-09 00:25
p419, 2018-01-09 02:45
p331, 2018-01-09 02:50
p94, 2018-01-09 02:55
p634, 2018-01-09 03:05
