#linkID, startTime
p425, 2019-11-23 08:40
p726, 2019-02-03 02:55
p166, 2019-02-05 21:15
p514, 2019-01-22 22:55
p514, 2019-09-10 06:20
p514, 2019-09-13 05:40
p514, 2019-09-16 03:45
p514, 2019-09-18 06:20
p514, 2019-09-19 06:10
p514, 2019-09-22 05:20
p514, 2019-11-01 06:20
p514, 2019-11-04 01:25
p514, 2019-11-06 03:10
p514, 2019-11-13 00:40
p700, 2019-11-08 10:00
p700, 2019-11-18 07:00
p700, 2019-11-22 01:40
p700, 2019-11-23 04:55
p700, 2019-11-26 17:10
p700, 2019-11-26 20:40
p700, 2019-12-01 11:25
p741, 2019-09-20 19:40
p741, 2019-09-20 20:25
p741, 2019-09-20 20:35
