#linkID, startTime
p42, 2019-11-23 10:30
p3, 2019-11-23 10:50
p3, 2019-12-21 12:55
p3, 2019-12-21 16:35
p3, 2019-12-21 22:40
p3, 2019-12-21 23:10
p3, 2019-12-22 02:15
p3, 2019-12-22 03:00
p3, 2019-12-23 03:35
p3, 2019-12-23 04:40
p425, 2019-11-06 06:05
p425, 2019-11-10 23:25
p425, 2019-11-18 02:40
p425, 2019-12-01 07:00
p425, 2019-12-11 06:35
p207, 2019-11-23 10:10
p726, 2019-01-31 13:20
p726, 2019-09-21 05:10
p166, 2019-01-31 18:20
p758, 2019-12-31 04:20
p191, 2019-02-06 13:00
p893, 2019-11-23 07:15
p894, 2019-09-22 18:20
p894, 2019-10-02 09:10
p894, 2019-10-02 09:25
p894, 2019-10-02 13:30
p894, 2019-10-02 13:55
p894, 2019-10-02 16:10
p894, 2019-10-02 18:20
p894, 2019-10-02 18:55
p894, 2019-10-03 11:50
p894, 2019-10-03 12:00
p894, 2019-10-03 18:30
p894, 2019-10-03 18:40
p894, 2019-10-03 21:00
p894, 2019-10-03 23:45
p894, 2019-10-04 01:10
p894, 2019-10-04 06:20
p894, 2019-10-04 07:00
p894, 2019-10-04 08:40
p894, 2019-10-04 10:15
p894, 2019-10-04 10:45
p894, 2019-10-04 19:25
p894, 2019-10-04 20:00
p894, 2019-10-04 20:50
p894, 2019-12-16 05:50
p894, 2019-12-16 06:15
p894, 2019-12-16 10:00
p376, 2019-11-01 03:30
p376, 2019-11-08 09:30
p376, 2019-11-10 23:45
p426, 2019-11-23 07:30
p426, 2019-11-29 06:30
p426, 2019-12-21 16:45
p426, 2019-12-22 01:05
p426, 2019-12-22 02:25
p426, 2019-12-22 04:20
p426, 2019-12-23 19:05
p426, 2019-12-23 19:35
p490, 2019-01-31 17:05
p507, 2019-09-22 09:15
p507, 2019-09-27 11:15
p507, 2019-09-30 09:10
p507, 2019-11-08 05:30
p507, 2019-11-18 04:15
p507, 2019-12-01 08:50
p507, 2019-12-11 06:00
p514, 2019-01-22 20:15
p514, 2019-07-16 05:45
p514, 2019-07-18 06:25
p514, 2019-08-13 20:40
p514, 2019-08-14 01:10
p514, 2019-09-01 06:40
p514, 2019-09-03 05:25
p514, 2019-10-06 18:05
p514, 2019-10-07 21:15
p514, 2019-10-09 06:45
p514, 2019-10-13 01:45
p514, 2019-10-20 04:40
p514, 2019-10-21 01:40
p514, 2019-10-21 03:50
p514, 2019-10-21 10:00
p514, 2019-10-21 14:40
p514, 2019-10-21 15:40
p514, 2019-10-21 17:50
p514, 2019-10-21 18:50
p514, 2019-10-21 19:15
p514, 2019-10-21 19:45
p514, 2019-10-21 20:20
p514, 2019-10-21 21:10
p514, 2019-10-21 21:55
p514, 2019-10-21 23:20
p514, 2019-10-22 01:25
p514, 2019-10-27 08:00
p514, 2019-10-29 02:40
p544, 2019-09-28 07:50
p544, 2019-11-08 06:00
p544, 2019-11-18 04:20
p544, 2019-12-01 08:15
p544, 2019-12-11 07:10
p700, 2019-11-04 02:45
p700, 2019-11-06 04:20
p700, 2019-11-13 01:10
p700, 2019-11-16 00:55
p700, 2019-12-05 16:55
p700, 2019-12-05 21:15
p700, 2019-12-05 21:45
p700, 2019-12-05 22:55
p700, 2019-12-06 19:05
p700, 2019-12-06 20:10
p700, 2019-12-06 20:45
p700, 2019-12-19 04:30
p700, 2019-12-21 05:00
p700, 2019-12-22 23:45
p708, 2019-01-31 16:55
p708, 2019-09-30 11:20
p708, 2019-10-01 03:35
p708, 2019-10-01 03:45
p708, 2019-10-01 03:55
p708, 2019-10-01 04:45
p708, 2019-10-01 05:30
p708, 2019-10-01 09:35
p708, 2019-10-01 09:50
p741, 2019-09-13 11:10
p742, 2019-09-12 04:45
p742, 2019-09-13 04:10
p742, 2019-09-16 02:50
p742, 2019-11-22 04:15
p742, 2019-11-22 04:35
p742, 2019-11-22 05:00
p742, 2019-11-22 09:20
p742, 2019-11-23 00:50
p742, 2019-11-23 01:05
p742, 2019-11-23 01:20
p742, 2019-12-03 03:40
