#linkID, startTime
p257, 2019-01-09 00:00 
p584, 2019-01-15 00:00
p514, 2019-01-21 00:00
p737, 2019-01-22 00:00
p687, 2019-01-23 00:00
p78, 2019-01-26 00:00
p353, 2019-01-27 00:00
p490, 2019-01-28 00:00
p901, 2019-01-29 00:00
p675, 2019-01-30 00:00
p408, 2019-01-31 00:00
p76, 2019-02-01 00:00
p537, 2019-02-02 00:00
p741, 2019-02-04 00:00
p523, 2019-02-05 00:00
p684, 2019-02-06 00:00
p813, 2019-02-07 00:00
p87, 2019-02-08 00:00
p765, 2019-02-09 00:00
p16, 2019-02-16 00:00
p16, 2019-02-17 00:00
p16, 2019-02-18 00:00
p16, 2019-02-19 00:00
p16, 2019-02-20 00:00
p260, 2019-02-21 00:00
p260, 2019-02-22 00:00
p260, 2019-02-23 00:00
p296, 2019-02-25 00:00
p258, 2019-02-27 00:00
p296, 2019-02-28 00:00
p296, 2019-03-02 00:00
p260, 2019-03-03 00:00
p260, 2019-03-06 00:00
p260, 2019-03-07 00:00
p296, 2019-03-10 00:00
p260, 2019-03-11 00:00
p296, 2019-03-12 00:00
p260, 2019-03-13 00:00
p255, 2019-03-14 00:00
p296, 2019-03-16 00:00
p296, 2019-03-17 00:00
p260, 2019-03-18 00:00
p255, 2019-03-20 00:00
p296, 2019-03-21 00:00
p255, 2019-03-23 00:00
p258, 2019-03-25 00:00
p258, 2019-03-26 00:00
p258, 2019-03-27 00:00
p255, 2019-03-28 00:00
p255, 2019-03-29 00:00
p255, 2019-03-31 00:00
p255, 2019-04-01 00:00
p255, 2019-04-02 00:00
p296, 2019-04-03 00:00
p409, 2019-04-05 00:00
p685, 2019-04-06 00:00
p260, 2019-04-07 00:00
p408, 2019-04-08 00:00
p49, 2019-04-09 00:00
p255, 2019-04-10 00:00
p411, 2019-04-11 00:00
p260, 2019-04-12 00:00
p559, 2019-04-13 00:00
p296, 2019-04-14 00:00
p626, 2019-04-15 00:00
p410, 2019-04-16 00:00
p260, 2019-04-17 00:00
p260, 2019-04-18 00:00
p681, 2019-04-19 00:00
p260, 2019-04-20 00:00
p652, 2019-04-21 00:00
p629, 2019-04-22 00:00
p630, 2019-04-23 00:00
p769, 2019-04-24 00:00
p662, 2019-04-25 00:00
p898, 2019-04-26 00:00
p255, 2019-04-27 00:00
p381, 2019-04-28 00:00
p296, 2019-04-29 00:00
p70, 2019-04-30 00:00
p128, 2019-05-01 00:00
p260, 2019-05-02 00:00
p260, 2019-05-03 00:00
p823, 2019-05-04 00:00
p524, 2019-05-05 00:00
p797, 2019-05-06 00:00
p489, 2019-05-07 00:00
p260, 2019-05-08 00:00
p700, 2019-05-09 00:00
p258, 2019-05-10 00:00
p255, 2019-05-11 00:00
p894, 2019-05-12 00:00
p377, 2019-05-13 00:00
p255, 2019-05-14 00:00
p643, 2019-05-15 00:00
p687, 2019-05-16 00:00
p643, 2019-05-17 00:00
p255, 2019-05-19 00:00
p643, 2019-05-20 00:00
p296, 2019-05-21 00:00
p377, 2019-05-22 00:00
p629, 2019-05-23 00:00
p87, 2019-05-24 00:00
p87, 2019-05-25 00:00
p260, 2019-05-26 00:00
p93, 2019-05-27 00:00
p629, 2019-05-28 00:00
p514, 2019-05-29 00:00
p584, 2019-05-30 00:00
p255, 2019-05-31 00:00
p258, 2019-06-01 00:00
p685, 2019-06-02 00:00
p296, 2019-06-04 00:00
p629, 2019-06-05 00:00
p629, 2019-06-06 00:00
p255, 2019-06-07 00:00
p296, 2019-06-08 00:00
p629, 2019-06-09 00:00
p255, 2019-06-10 00:00
p255, 2019-06-11 00:00
p255, 2019-06-12 00:00
p87, 2019-06-13 00:00
p255, 2019-06-14 00:00
p409, 2019-06-15 00:00
p648, 2019-06-16 00:00
p626, 2019-06-17 00:00
p418, 2019-06-18 00:00
p768, 2019-06-19 00:00
p501, 2019-06-20 00:00
p180, 2019-06-21 00:00
p255, 2019-06-22 00:00
p825, 2019-06-23 00:00
p383, 2019-06-24 00:00
p135, 2019-06-25 00:00
p444, 2019-06-26 00:00
p255, 2019-06-27 00:00
p397, 2019-06-28 00:00
p826, 2019-06-29 00:00
p171, 2019-06-30 00:00
p407, 2019-07-01 00:00
p494, 2019-07-02 00:00
p444, 2019-07-03 00:00
p444, 2019-07-04 00:00
p618, 2019-07-05 00:00
p826, 2019-07-06 00:00
p776, 2019-07-07 00:00
p494, 2019-07-08 00:00
p213, 2019-07-09 00:00
p494, 2019-07-10 00:00
p750, 2019-07-11 00:00
p494, 2019-07-12 00:00
p255, 2019-07-13 00:00
p134, 2019-07-14 00:00
p396, 2019-07-15 00:00
p152, 2019-07-16 00:00
p206, 2019-07-17 00:00
p229, 2019-07-18 00:00
p8, 2019-07-19 00:00
p270, 2019-07-20 00:00
p150, 2019-07-21 00:00
p868, 2019-07-22 00:00
p795, 2019-07-23 00:00
p270, 2019-07-24 00:00
p262, 2019-07-25 00:00
p219, 2019-07-26 00:00
p568, 2019-07-27 00:00
p730, 2019-07-28 00:00
p508, 2019-07-29 00:00
p674, 2019-07-30 00:00
p479, 2019-07-31 00:00
p892, 2019-08-01 00:00
p32, 2019-08-02 00:00
p709, 2019-08-03 00:00
p317, 2019-08-04 00:00
p19, 2019-08-05 00:00
p362, 2019-08-06 00:00
p104, 2019-08-07 00:00
p74, 2019-08-08 00:00
p104, 2019-08-09 00:00
